dataset,split,doc_id,file_name,document_type,url,chars,words,approx_tokens,spans_count,annotation_sets_count,annotations_count,empty
contractnli,train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,search-pdf,https://www.ungm.org/UNUser/Documents/DownloadPublicDocument?docId=287983,8584,1315,2146,65,1,17,False
contractnli,train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,search-pdf,http://www.copernicus-masters.com/wp-content/uploads/2017/07/CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,14943,2015,3736,112,1,17,False
contractnli,train,87,Cyber Mutual Assistance NDA.pdf,search-pdf,https://www.electricitysubsector.org/-/media/Files/ESCC/Documents/CMA/Cyber-Mutual-Assistance-NDA.ashx?la=en&hash=E1B1FB222570EC29D102F11D7B26BA49EAB19789,14966,2188,3742,86,1,17,False
contractnli,train,88,DBT%20Mutual%20NDA.pdf,search-pdf,http://www.databoiler.com/index_htm_files/DBT%20Mutual%20NDA.pdf,7502,1077,1876,59,1,17,False
contractnli,train,89,Data Use Agreement New York City.pdf,search-pdf,http://www.astho.org/Programs/Infectious-Disease/Healthcare-Associated-Infections/Electronic-Health-Records/Toolkit/Data-Use-Agreement-New-York-City/,23379,3752,5845,213,1,17,False
contractnli,train,91,Dealer-Pay-NDA-4.pdf,search-pdf,https://www.dealer-pay.com/wp-content/uploads/2018/06/Dealer-Pay-NDA-4.pdf,14233,2063,3559,85,1,17,False
contractnli,train,92,Disclosure documents.pdf,search-pdf,http://www.sourcederbyshire.co.uk/download-document/1078,10208,1642,2552,94,1,17,False
contractnli,train,93,DoiT-ICN-NonDisclosure-Agreement.pdf,search-pdf,https://www2.illinois.gov/icn/services/institutions/Documents/DoiT-ICN-NonDisclosure-Agreement.pdf,3518,540,880,23,1,17,False
contractnli,train,94,EFCAConfidentialityAgreement.pdf,search-pdf,http://efca.com.au/wp-content/pdfs/EFCAConfidentialityAgreement.pdf,6383,982,1596,59,1,17,False
contractnli,train,95,Eskom%20Template%20Confidentiality%20and%20Non-disclosure%20Agreement%20Rev%204%20Effective%20August%202017_11.pdf,search-pdf,https://tenderbulletins.co.za/files/Eskom%20Template%20Confidentiality%20and%20Non-disclosure%20Agreement%20Rev%204%20Effective%20August%202017_11.pdf,19008,2870,4752,155,1,17,False
contractnli,train,96,contrato_ingles_corporativo_mal.pdf,search-pdf,http://www.eiranova.com/wp-content/uploads/2017/03/contrato_ingles_corporativo_mal.pdf,8178,1232,2045,48,1,17,False
contractnli,train,98,document_viewer.pdf,search-pdf,https://www.thebluemountains.ca/document_viewer.cfm?doc=21,10258,1592,2565,68,1,17,False
contractnli,train,100,epsteen_nda.pdf,search-pdf,http://epsteen.com/site/assets/files/1334/epsteen_nda.pdf,6475,928,1619,52,1,17,False
contractnli,train,101,EUNCL_NDA_2016.pdf,search-pdf,http://www.euncl.eu/working-with-us/submission-procedure/EUNCL_NDA_2016.pdf?m=1458234633,11232,1594,2808,97,1,17,False
contractnli,train,102,Evelozcity%20OESA%20NDA.pdf,search-pdf,https://www.oesa.org/sites/default/files/page/Evelozcity%20OESA%20NDA.pdf,7849,1153,1963,59,1,17,False
contractnli,train,103,Example-Mutual-Non-Disclosure-Agreement.pdf,search-pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/592212/Example-Mutual-Non-Disclosure-Agreement.pdf,3573,566,894,36,1,17,False
contractnli,train,104,Example-One-Way-Non-Disclosure-Agreement.pdf,search-pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/606993/Example-One-Way-Non-Disclosure-Agreement.pdf,3712,557,928,49,1,17,False
contractnli,train,105,ExcelerateStandardNDAFormat.pdf,search-pdf,http://itarhelp.com/pdfdownloads/ExcelerateStandardNDAFormat.pdf,10714,1662,2679,72,1,17,False
contractnli,train,106,FELLCNDAStandardAgreement-22015.pdf,search-pdf,http://flixentertainmentgroup.com/wp-content/uploads/2015/01/FELLCNDAStandardAgreement-22015.pdf,10762,1552,2691,73,1,17,False
contractnli,train,108,FNHA-2019RFP-02-NDA-form.pdf,search-pdf,http://www.fnha.ca/Documents/FNHA-2019RFP-02-NDA-form.pdf,5216,720,1304,45,1,17,False
