label_id,label_short_description,hypothesis,contradiction,entailment,not_mentioned,total,entailment_share,contradiction_share,not_mentioned_share
nda-1,Explicit identification,All Confidential Information shall be expressly identified by the Disclosing Party.,158,134,315,607,0.22075782537067545,0.2602965403624382,0.5189456342668863
nda-10,Confidentiality of Agreement,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,2,234,371,607,0.385502471169687,0.0032948929159802307,0.6112026359143328
nda-11,No reverse engineering,Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,1,80,526,607,0.13179571663920922,0.0016474464579901153,0.8665568369028006
nda-12,Permissible development of similar information,Receiving Party may independently develop information similar to Confidential Information.,0,376,231,607,0.6194398682042833,0.0,0.3805601317957166
nda-13,Permissible acquirement of similar information,Receiving Party may acquire information similar to Confidential Information from a third party.,0,454,153,607,0.7479406919275123,0.0,0.25205930807248766
nda-15,No licensing,Agreement shall not grant Receiving Party any right to Confidential Information.,0,452,155,607,0.7446457990115322,0.0,0.2553542009884679
nda-16,Return of confidential information,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,4,240,363,607,0.3953871499176277,0.006589785831960461,0.5980230642504119
nda-17,Permissible copy,Receiving Party may create a copy of some Confidential Information in some circumstances.,109,124,374,607,0.2042833607907743,0.17957166392092258,0.6161449752883031
nda-18,No solicitation,Receiving Party shall not solicit some of Disclosing Party's representatives.,0,132,475,607,0.21746293245469522,0.0,0.7825370675453048
nda-19,Survival of obligations,Some obligations of Agreement may survive termination of Agreement.,15,422,170,607,0.6952224052718287,0.02471169686985173,0.2800658978583196
nda-2,None-inclusion of non-technical information,Confidential Information shall only include technical information.,441,35,131,607,0.057660626029654036,0.7265238879736409,0.2158154859967051
nda-20,Permissible post-agreement possession,Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,236,164,207,607,0.2701812191103789,0.38879736408566723,0.34102141680395387
nda-3,Inclusion of verbally conveyed information,Confidential Information may include verbally conveyed information.,7,388,212,607,0.6392092257001647,0.011532125205930808,0.34925864909390447
nda-4,Limited use,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,17,517,73,607,0.8517298187808896,0.02800658978583196,0.12026359143327842
nda-5,Sharing with employees,Receiving Party may share some Confidential Information with some of Receiving Party's employees.,16,492,99,607,0.8105436573311368,0.026359143327841845,0.1630971993410214
nda-7,Sharing with third-parties,"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",150,375,82,607,0.6177924217462932,0.2471169686985173,0.13509060955518945
nda-8,Notice on compelled disclosure,"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",0,398,209,607,0.6556836902800659,0.0,0.3443163097199341
