clause_type,examples,matched,match_rate,contract_found_rate,median_clause_words
License Grant,716,640,0.8938547486033519,0.9706703910614525,57.0
Cap On Liability,632,574,0.9082278481012658,0.9667721518987342,52.0
Audit Rights,613,562,0.9168026101141925,0.9592169657422512,41.0
Anti-Assignment,612,557,0.9101307189542484,0.9705882352941176,37.0
Insurance,531,485,0.9133709981167608,0.967984934086629,39.0
Document Name,521,507,0.9731285988483686,0.9731285988483686,3.0
Governing Law,457,439,0.9606126914660832,0.975929978118162,29.0
Post-Termination Services,409,350,0.8557457212713936,0.941320293398533,60.0
Revenue/Profit Sharing,395,361,0.9139240506329114,0.9721518987341772,45.0
Minimum Commitment,392,355,0.9056122448979592,0.9846938775510204,45.0
Exclusivity,388,353,0.9097938144329897,0.9664948453608248,47.5
Rofr/Rofo/Rofn,350,306,0.8742857142857143,0.9171428571428571,54.0
Ip Ownership Assignment,296,263,0.8885135135135135,0.9527027027027027,55.0
Non-Transferable License,282,255,0.9042553191489362,0.950354609929078,52.5
Non-Compete,226,186,0.8230088495575221,0.9557522123893806,53.5
Termination For Convenience,223,194,0.8699551569506726,0.968609865470852,31.0
Change Of Control,213,171,0.8028169014084507,0.9483568075117371,56.0
Renewal Term,199,185,0.9296482412060302,0.9798994974874372,46.0
Volume Restriction,165,159,0.9636363636363636,1.0,37.0
Warranty Duration,164,151,0.9207317073170732,0.9817073170731707,43.0
Covenant Not To Sue,159,141,0.8867924528301887,0.9748427672955975,55.0
Uncapped Liability,151,131,0.8675496688741722,0.9668874172185431,71.0
Irrevocable Or Perpetual License,150,131,0.8733333333333333,0.9733333333333334,73.0
Notice Period To Terminate Renewal,117,110,0.9401709401709402,0.9743589743589743,49.0
Competitive Restriction Exception,114,102,0.8947368421052632,0.9649122807017544,59.0
Liquidated Damages,113,100,0.8849557522123894,0.9557522123893806,52.0
Affiliate License-Licensee,104,91,0.875,0.9807692307692307,79.5
Joint Ip Ownership,100,89,0.89,0.99,49.0
No-Solicit Of Employees,75,56,0.7466666666666667,0.9466666666666667,66.0
Source Code Escrow,63,60,0.9523809523809523,1.0,40.0
Non-Disparagement,54,40,0.7407407407407407,0.9259259259259259,46.0
Affiliate License-Licensor,47,28,0.5957446808510638,1.0,117.0
No-Solicit Of Customers,45,30,0.6666666666666666,0.9333333333333333,61.0
Third Party Beneficiary,39,37,0.9487179487179487,0.9487179487179487,33.0
Most Favored Nation,36,34,0.9444444444444444,1.0,62.5
Unlimited/All-You-Can-Eat-License,27,23,0.8518518518518519,1.0,59.0
Price Restrictions,26,25,0.9615384615384616,1.0,45.5
