clause_column,documents_with_text,documents_with_text_share,span_count,mean_text_chars,median_text_chars,mean_text_words,median_text_words
Governing Law,437,0.8568627450980392,457,206.41356673960613,174.0,34.137855579868706,29.0
Anti-Assignment,374,0.7333333333333333,612,309.6977124183006,226.5,50.130718954248366,37.0
Cap On Liability,275,0.5392156862745098,632,392.9794303797468,330.0,62.40506329113924,52.0
License Grant,255,0.5,716,460.75,372.0,69.69972067039106,57.0
Audit Rights,214,0.4196078431372549,613,318.79445350734096,260.0,50.00326264274062,41.0
Termination For Convenience,183,0.3588235294117647,223,242.71300448430495,183.0,39.54260089686099,31.0
Post-Termination Services,182,0.3568627450980392,409,485.99755501222495,385.0,76.87286063569682,60.0
Exclusivity,180,0.35294117647058826,388,377.39948453608247,305.0,58.49484536082474,47.5
Renewal Term,176,0.34509803921568627,199,329.8542713567839,277.0,54.040201005025125,46.0
Insurance,166,0.3254901960784314,531,333.71939736346513,256.0,50.282485875706215,39.0
Revenue/Profit Sharing,166,0.3254901960784314,395,356.89113924050633,279.0,56.84303797468355,45.0
Ip Ownership Assignment,124,0.24313725490196078,296,433.18243243243245,358.5,67.86486486486487,55.0
Non-Compete,119,0.23333333333333334,226,443.1592920353982,345.5,69.40265486725664,53.5
Uncapped Liability,111,0.21764705882352942,151,495.57615894039736,447.0,77.62913907284768,71.0
No-Solicit Of Employees,59,0.11568627450980393,75,470.44,405.0,75.85333333333334,66.0
No-Solicit Of Customers,34,0.06666666666666667,45,396.77777777777777,385.0,61.422222222222224,61.0
