clause_column,documents_with_text,documents_with_text_share,span_count,mean_text_chars,median_text_chars,mean_text_words,median_text_words
Document Name,510,1.0,521,29.190019193857964,25.0,3.280230326295585,3.0
Governing Law,437,0.8568627450980392,457,206.41356673960613,174.0,34.137855579868706,29.0
Anti-Assignment,374,0.7333333333333333,612,309.6977124183006,226.5,50.130718954248366,37.0
Cap On Liability,275,0.5392156862745098,632,392.9794303797468,330.0,62.40506329113924,52.0
License Grant,255,0.5,716,460.75,372.0,69.69972067039106,57.0
Audit Rights,214,0.4196078431372549,613,318.79445350734096,260.0,50.00326264274062,41.0
Termination For Convenience,183,0.3588235294117647,223,242.71300448430495,183.0,39.54260089686099,31.0
Post-Termination Services,182,0.3568627450980392,409,485.99755501222495,385.0,76.87286063569682,60.0
Exclusivity,180,0.35294117647058826,388,377.39948453608247,305.0,58.49484536082474,47.5
Renewal Term,176,0.34509803921568627,199,329.8542713567839,277.0,54.040201005025125,46.0
Insurance,166,0.3254901960784314,531,333.71939736346513,256.0,50.282485875706215,39.0
Revenue/Profit Sharing,166,0.3254901960784314,395,356.89113924050633,279.0,56.84303797468355,45.0
Minimum Commitment,165,0.3235294117647059,392,361.6301020408163,283.0,56.30357142857143,45.0
Non-Transferable License,138,0.27058823529411763,282,437.51418439716315,358.5,65.2872340425532,52.5
Ip Ownership Assignment,124,0.24313725490196078,296,433.18243243243245,358.5,67.86486486486487,55.0
Change Of Control,121,0.2372549019607843,213,449.2018779342723,354.0,72.01877934272301,56.0
Non-Compete,119,0.23333333333333334,226,443.1592920353982,345.5,69.40265486725664,53.5
Uncapped Liability,111,0.21764705882352942,151,495.57615894039736,447.0,77.62913907284768,71.0
Notice Period To Terminate Renewal,111,0.21764705882352942,117,314.65811965811963,302.0,51.85470085470085,49.0
Covenant Not To Sue,100,0.19607843137254902,159,426.45911949685535,343.0,68.83018867924528,55.0
Rofr/Rofo/Rofn,85,0.16666666666666666,350,406.4,331.0,66.84857142857143,54.0
Volume Restriction,82,0.1607843137254902,165,276.3090909090909,226.0,44.04848484848485,37.0
Competitive Restriction Exception,76,0.14901960784313725,114,479.7368421052632,396.0,73.78070175438596,59.0
Warranty Duration,75,0.14705882352941177,164,323.5670731707317,271.5,50.890243902439025,43.0
Irrevocable Or Perpetual License,70,0.13725490196078433,150,610.3466666666667,497.5,90.96666666666667,73.0
Liquidated Damages,61,0.11960784313725491,113,383.17699115044246,314.0,62.991150442477874,52.0
Affiliate License-Licensee,59,0.11568627450980393,104,605.0769230769231,505.0,93.77884615384616,79.5
No-Solicit Of Employees,59,0.11568627450980393,75,470.44,405.0,75.85333333333334,66.0
Joint Ip Ownership,46,0.09019607843137255,100,382.17,310.0,59.41,49.0
Non-Disparagement,38,0.07450980392156863,54,482.85185185185185,289.0,76.01851851851852,46.0
No-Solicit Of Customers,34,0.06666666666666667,45,396.77777777777777,385.0,61.422222222222224,61.0
Third Party Beneficiary,32,0.06274509803921569,39,233.5897435897436,205.0,38.0,33.0
Most Favored Nation,28,0.054901960784313725,36,473.55555555555554,381.0,76.16666666666667,62.5
Affiliate License-Licensor,23,0.045098039215686274,47,891.3617021276596,732.0,139.0212765957447,117.0
Unlimited/All-You-Can-Eat-License,17,0.03333333333333333,27,424.14814814814815,371.0,63.2962962962963,59.0
Price Restrictions,15,0.029411764705882353,26,355.9230769230769,283.0,58.38461538461539,45.5
Source Code Escrow,13,0.025490196078431372,63,457.95238095238096,251.0,73.39682539682539,40.0
