metric,value
cuad_documents_txt,510.0
cuad_master_rows,510.0
cuad_master_columns,83.0
cuad_answer_columns,41.0
cuad_text_clause_columns,37.0
cuad_text_clause_examples,9204.0
cuad_clause_match_rate,0.8997175141242938
cuad_empty_text_files,0.0
cuad_median_words,4971.0
cuad_p95_words,24853.19999999999
contractnli_documents,607.0
contractnli_examples,10319.0
contractnli_train_docs,423.0
contractnli_dev_docs,61.0
contractnli_test_docs,123.0
contractnli_entailment_examples,5017.0
contractnli_contradiction_examples,1156.0
contractnli_not_mentioned_examples,4146.0
contractnli_examples_without_evidence,4146.0
contractnli_entailment_or_contradiction_without_evidence,0.0
contractnli_median_words,1498.0
contractnli_p95_words,3701.399999999994
